"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","294","orderCreateWithColourSet(String, String)[3]","","","passed","","","order_create.OrderCreateTest","order_create.OrderCreateTest",""
"","60326","errorWhenLoginOrPasswordNotExist(String, String)[1]","","","failed","","","courier_login.CourierLoginTest","courier_login.CourierLoginTest",""
"","373","errorByCreatingCourierWithoutField(String, String, String)[3]","","","passed","","","courier_create.CourierCreateTest","courier_create.CourierCreateTest",""
"","60256","errorWhenLoginOrPasswordNotExist(String, String)[3]","","","failed","","","courier_login.CourierLoginTest","courier_login.CourierLoginTest",""
"","402","orderCreateWithColourSet(String, String)[1]","","","passed","","","order_create.OrderCreateTest","order_create.OrderCreateTest",""
"","385","orderCreateWithColourSet(String, String)[2]","","","passed","","","order_create.OrderCreateTest","order_create.OrderCreateTest",""
"","669","errorWhenLoginOrPasswordNotValid(String, String)[3]","","","passed","","","courier_login.CourierLoginTest","courier_login.CourierLoginTest",""
"","958","errorWhenLoginOrPasswordNotValid(String, String)[1]","","","passed","","","courier_login.CourierLoginTest","courier_login.CourierLoginTest",""
"","2790","errorByCreatingCourierWithoutField(String, String, String)[1]","","","passed","","","courier_create.CourierCreateTest","courier_create.CourierCreateTest",""
"","334","errorByCreatingCourierWithoutField(String, String, String)[2]","","","failed","","","courier_create.CourierCreateTest","courier_create.CourierCreateTest",""
"","292","validMessageByLogin","","","passed","","","courier_login.CourierLoginTest","courier_login.CourierLoginTest",""
"","327","errorWhenLoginOrPasswordNotExist(String, String)[2]","","","passed","","","courier_login.CourierLoginTest","courier_login.CourierLoginTest",""
"","426","orderCreateWithColourSet(String, String)[4]","","","passed","","","order_create.OrderCreateTest","order_create.OrderCreateTest",""
"","655","errorWhenLoginOrPasswordNotValid(String, String)[2]","","","passed","","","courier_login.CourierLoginTest","courier_login.CourierLoginTest",""
"","341","statusCode200ByLogin","","","passed","","","courier_login.CourierLoginTest","courier_login.CourierLoginTest",""
